"hour, internal load",system implied load,metered load,
00:00,9559.32,7567.16,7300.05
01:00,9513.92,7506.9,7255.35
02:00,9472.58,7465.1,7217.5
03:00,9372.39,7367.26,7125.56
04:00,9142.99,7141.51,6914.15
05:00,8809.39,6825.59,6601.88
06:00,8526.2,6549.01,6333.7
07:00,8350.04,6376.58,6163.63
08:00,8250.22,6285.86,6070.09
09:00,8201.33,6240.6,6022.58
10:00,8208.4,6250.34,6025.7
11:00,8286.45,6339.93,6104.73
12:00,8506.92,6563.94,6316.83
13:00,8851.45,6887.21,6638.44
14:00,9144.85,7164.79,6910.8
15:00,9313.07,7320.57,7065.76
16:00,9408.96,7414.06,7152.04
17:00,9473.19,7477.57,7214.25
18:00,9493.13,7501.36,7234.76
19:00,9490.58,7499.99,7234.98
20:00,9477.45,7489.9,7226.27
21:00,9469.98,7481.28,7220.12
22:00,9498.37,7506.79,7245.29
23:00,9556.1,7563.06,7294.6
